#star_name	spectral_type	m_M	m_M_err	app_mag_J	app_mag_J_err	app_mag_H	app_mag_H_err	app_mag_K	app_mag_K_err	app_mag_3.6	app_mag_3.6_err	app_mag_4.5	app_mag_4.5_err	app_mag_5.8	app_mag_5.8_err	app_mag_8.0	app_mag_8.0_err
[HB88]_M18                  	M8.5	1.7	0.4	13.43	3	12.77	3	12.37	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
[HB88]_M20                  	-99.9	2.1	1.2	14.31	3	13.6	2	13.16	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSW_J1207334-393254b     	L1.0	3.59	0.05	20	20	18.09	21	16.93	11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASP_J0345432+254023       	L0.0	2.153	0.029	14	3	13.21	3	12.67	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J00501994-3322402     	T7.0	0.12	0.06	15.93	7	15.84	19	15.24	19	14.82	5	13.57	3	13.32	17	13	22
2MASS_J01490895+2956131     	M9.5	1.76	0.03	13.45	2	12.58	3	11.98	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J06411840-4322329     	L1.5	1.27	0.23	13.75	3	12.94	3	12.45	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J07193188-5051410     	L0.0	2.44	0.16	14.09	3	13.28	4	12.77	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J08354256-0819237     	L5.0	-0.35	0.21	13.17	2	11.94	2	11.14	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J09393548-2448279                          	T8.0	-1.36	0.05	-9999	-9999	-9999	-9999	-9999	-9999	13.76	2	11.66	2	12.96	3	11.89	3
2MASS_J10043929-3335189     	L4.0	1.3	0.22	14.48	4	13.49	4	12.92	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J10185879-2909535     	L1.0	2.26	0.2	14.21	3	13.42	2	12.8	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J11145133-2618235                          	T7.5	-1.267	0.017	-9999	-9999	-9999	-9999	-9999	-9999	14.01	5	12.23	3	13.22	17	12.25	22
2MASS_J12373919+6526148                          	T7.0	0.09	0.11	-9999	-9999	-9999	-9999	-9999	-9999	14.39	3	12.93	3	13.42	6	12.78	11
2MASS_J13204159+0957506     	M7.5	2.93	0.14	13.73	3	13.08	3	12.61	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J13204427+0409045     	L3.0	2.45	0.06	15.25	5	14.3	3	13.62	5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J15462718-3325111     	T5.5	0.28	0.05	15.63	5	15.45	9	15.48	18	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J17502484-0016151     	L5.5	-0.18	0.05	13.29	2	12.41	2	11.85	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASS_J23062928-0502285     	M7.5	0.42	0.07	11.35	2	10.72	2	10.3	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2MASSI_J0003422-282241      	M7.5	2.95	0.08	13.07	2	12.38	3	11.97	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
