#wavelength	flux
90.0113254	1.54E-01
90.03383102	2.06E-01
90.05634227	2.15E-01
90.07885915	2.16E-01
90.10138166	2.18E-01
90.1239098	2.19E-01
90.14644357	2.21E-01
90.16898297	2.22E-01
90.19152801	2.23E-01
90.21407869	2.25E-01
90.23663501	2.26E-01
90.25919696	2.27E-01
90.28176456	2.29E-01
90.3043378	2.30E-01
90.32691669	2.32E-01
90.34950122	2.33E-01
90.37209139	2.33E-01
90.39468722	2.34E-01
90.41728869	2.35E-01
90.43989582	2.37E-01
90.46250859	2.40E-01
90.48512703	2.42E-01
90.50775111	2.44E-01
90.53038086	2.45E-01
90.55301626	2.47E-01
90.57565732	2.48E-01
90.59830404	2.50E-01
90.62095643	2.51E-01
90.64361448	2.53E-01
90.66627819	2.54E-01
90.68894757	2.56E-01
90.71162262	2.58E-01
90.73430334	2.59E-01
90.75698973	2.61E-01
90.77968179	2.62E-01
90.80237952	2.64E-01
90.82508293	2.66E-01
90.84779202	2.67E-01
90.87050678	2.69E-01
90.89322723	2.71E-01
90.91595335	2.72E-01
90.93868516	2.74E-01
90.96142265	2.76E-01
90.98416582	2.77E-01
91.00691469	2.79E-01
91.02966924	2.81E-01
91.05242948	2.83E-01
91.07519541	2.84E-01
91.09796703	2.86E-01
91.12074434	2.88E-01
91.14352736	2.90E-01
91.16631606	2.92E-01
91.18911047	2.94E-01
91.21191057	2.97E-01
91.23471638	2.98E-01
91.25752789	3.00E-01
91.2803451	3.02E-01
91.30316801	3.06E-01
91.32599664	3.13E-01
91.34883097	3.23E-01
91.37167101	3.35E-01
91.39451676	3.51E-01
91.41736822	3.72E-01
91.4402254	3.99E-01
91.46308829	4.36E-01
91.4859569	4.87E-01
91.50883122	5.67E-01
91.53171127	7.02E-01
91.55459703	1.04E+00
91.57748852	2.58E+00
91.60038573	9.12E+00
91.62328867	2.14E+01
91.64619733	4.96E+01
91.66911172	1.02E+02
91.69203184	1.10E+02
91.71495769	8.10E+01
91.73788927	1.27E+02
91.76082659	1.93E+02
91.78376964	1.62E+02
91.80671843	9.35E+01
91.82967295	1.32E+02
91.85263322	2.46E+02
91.87559923	2.98E+02
91.89857097	2.32E+02
91.92154847	1.19E+02
91.9445317	1.03E+02
91.96752069	2.18E+02
91.99051542	3.63E+02
92.0135159	4.33E+02
92.03652213	3.94E+02
92.05953411	2.67E+02
92.08255185	1.30E+02
92.10557534	1.13E+02
92.12860459	2.36E+02
92.1516396	3.81E+02
92.17468037	4.62E+02
92.1977269	4.82E+02
92.22077919	5.17E+02
92.24383724	4.94E+02
92.26690106	3.61E+02
92.28997064	1.92E+02
92.313046	1.02E+02
92.33612712	1.79E+02
92.35921402	3.40E+02
92.38230668	5.05E+02
92.40540512	6.74E+02
92.42850934	7.87E+02
92.45161933	8.18E+02
92.4747351	7.72E+02
92.49785665	7.20E+02
92.52098399	7.10E+02
92.5441171	6.31E+02
92.567256	4.72E+02
92.59040068	2.78E+02
92.61355115	1.29E+02
92.63670741	1.52E+02
92.65986946	3.19E+02
92.6830373	4.94E+02
92.70621093	6.57E+02
92.72939036	8.28E+02
92.75257558	9.71E+02
92.7757666	1.06E+03
92.79896342	1.09E+03
92.82216604	1.10E+03
92.84537446	1.11E+03
92.86858868	1.11E+03
92.89180871	1.11E+03
92.91503454	1.08E+03
92.93826618	9.70E+02
92.96150363	8.36E+02
92.98474688	7.38E+02
93.00799595	5.75E+02
93.03125084	3.84E+02
93.05451153	1.95E+02
93.07777805	1.17E+02
93.10105038	2.44E+02
93.12432852	4.55E+02
93.14761249	6.25E+02
93.17090228	8.03E+02
93.1941979	9.61E+02
93.21749934	1.09E+03
93.2408066	1.21E+03
93.26411969	1.27E+03
93.28743862	1.36E+03
93.31076337	1.41E+03
93.33409395	1.46E+03
93.35743037	1.54E+03
93.38077262	1.59E+03
93.40412071	1.60E+03
93.42747463	1.58E+03
93.4508344	1.54E+03
93.47420001	1.57E+03
93.49757145	1.60E+03
93.52094874	1.57E+03
93.54433188	1.50E+03
93.56772086	1.42E+03
93.5911157	1.38E+03
93.61451638	1.32E+03
93.63792291	1.16E+03
93.66133529	9.60E+02
93.68475353	8.59E+02
93.70817762	7.59E+02
93.73160757	5.25E+02
93.75504338	2.63E+02
93.77848505	1.24E+02
93.80193258	2.17E+02
93.82538597	4.75E+02
93.84884522	7.12E+02
93.87231034	8.99E+02
93.89578133	1.10E+03
93.91925819	1.27E+03
93.94274091	1.43E+03
93.96622951	1.57E+03
93.98972398	1.64E+03
94.01322433	1.65E+03
94.03673055	1.79E+03
94.06024264	1.86E+03
94.08376062	1.92E+03
94.10728448	1.97E+03
94.13081422	1.88E+03
94.15434984	1.87E+03
94.17789135	2.03E+03
94.20143874	2.13E+03
94.22499202	2.19E+03
94.24855119	2.17E+03
94.27211625	2.08E+03
94.2956872	2.11E+03
94.31926404	2.18E+03
94.34284678	2.18E+03
94.36643542	2.06E+03
94.39002996	2.07E+03
94.41363039	2.30E+03
94.43723672	2.42E+03
94.46084896	2.38E+03
94.4844671	2.17E+03
94.50809115	1.75E+03
94.5317211	1.48E+03
94.55535696	1.60E+03
94.57899873	1.92E+03
94.60264641	2.16E+03
94.62630001	2.23E+03
94.64995952	2.20E+03
94.67362494	2.02E+03
94.69729628	1.92E+03
94.72097354	2.04E+03
94.74465672	2.10E+03
94.76834582	2.00E+03
94.79204085	1.88E+03
94.8157418	1.79E+03
94.83944867	1.56E+03
94.86316148	1.24E+03
94.88688021	1.06E+03
94.91060487	8.57E+02
94.93433546	5.40E+02
94.95807199	2.47E+02
94.98181445	1.75E+02
95.00556285	3.84E+02
95.02931719	7.34E+02
95.05307746	1.02E+03
95.07684368	1.27E+03
95.10061584	1.59E+03
95.12439394	1.88E+03
95.14817799	2.10E+03
95.17196798	2.30E+03
95.19576392	2.40E+03
95.21956581	2.25E+03
95.24337366	2.19E+03
95.26718745	2.54E+03
95.29100721	2.77E+03
95.31483291	2.75E+03
95.33866457	2.56E+03
95.3625022	2.44E+03
95.38634578	2.49E+03
95.41019532	2.72E+03
95.43405083	3.11E+03
95.4579123	3.19E+03
95.48177974	3.20E+03
95.50565314	3.24E+03
95.52953252	3.15E+03
95.55341786	3.16E+03
95.57730918	3.27E+03
95.60120647	3.41E+03
95.62510973	3.56E+03
95.64901898	3.60E+03
95.6729342	3.67E+03
95.6968554	3.73E+03
95.72078258	3.76E+03
95.74471574	3.80E+03
95.76865489	3.83E+03
95.79260002	3.76E+03
95.81655114	3.63E+03
95.84050825	3.61E+03
95.86447135	3.72E+03
95.88844044	3.88E+03
95.91241552	3.94E+03
95.9363966	3.87E+03
95.96038367	3.79E+03
95.98437674	3.73E+03
96.00837581	3.61E+03
96.03238088	3.59E+03
96.05639195	3.70E+03
96.08040903	3.75E+03
96.10443211	3.81E+03
96.1284612	3.99E+03
96.15249629	4.02E+03
96.1765374	4.02E+03
96.20058452	3.93E+03
96.22463764	3.85E+03
96.24869679	3.84E+03
96.27276194	3.95E+03
96.29683312	4.17E+03
96.32091031	4.26E+03
96.34499353	4.03E+03
96.36908276	3.56E+03
96.39317802	3.31E+03
96.4172793	3.59E+03
96.44138661	3.70E+03
96.46549995	3.47E+03
96.48961932	3.38E+03
96.51374471	3.42E+03
96.53787614	3.59E+03
96.5620136	4.06E+03
96.5861571	4.39E+03
96.61030663	4.39E+03
96.6344622	4.25E+03
96.65862382	4.20E+03
96.68279147	4.35E+03
96.70696516	4.39E+03
96.7311449	4.40E+03
96.75533069	4.37E+03
96.77952252	4.27E+03
96.8037204	4.21E+03
96.82792433	4.24E+03
96.85213432	4.23E+03
96.87635035	4.18E+03
96.90057244	4.10E+03
96.92480059	3.93E+03
96.9490348	3.82E+03
96.97327506	3.76E+03
96.99752139	3.61E+03
97.02177377	3.43E+03
97.04603222	3.19E+03
97.07029674	2.96E+03
97.09456732	2.73E+03
97.11884398	2.47E+03
97.1431267	2.06E+03
97.16741549	1.52E+03
97.19171036	1.06E+03
97.2160113	6.40E+02
97.24031832	2.88E+02
97.26463141	2.81E+02
97.28895058	6.19E+02
97.31327584	1.03E+03
97.33760717	1.48E+03
97.36194459	1.87E+03
97.3862881	2.24E+03
97.41063769	2.75E+03
97.43499337	3.15E+03
97.45935514	3.46E+03
97.483723	3.65E+03
97.50809695	3.79E+03
97.532477	4.01E+03
97.55686314	4.26E+03
97.58125538	4.48E+03
97.60565372	4.62E+03
97.63005816	4.74E+03
97.6544687	4.85E+03
97.67888535	4.92E+03
97.70330809	5.00E+03
97.72773695	5.10E+03
97.75217191	5.14E+03
97.77661299	5.10E+03
97.80106017	5.05E+03
97.82551347	5.09E+03
97.84997288	5.11E+03
97.87443841	5.21E+03
97.89891005	5.46E+03
97.92338781	5.52E+03
97.9478717	5.43E+03
97.9723617	5.42E+03
97.99685783	5.50E+03
98.02136008	5.45E+03
98.04586846	5.53E+03
98.07038297	5.58E+03
98.0949036	5.55E+03
98.11943037	5.66E+03
98.14396327	5.66E+03
98.1685023	5.65E+03
98.19304747	5.41E+03
98.21759878	5.26E+03
98.24215622	5.68E+03
98.26671981	5.96E+03
98.29128954	5.93E+03
98.31586541	5.91E+03
98.34044742	5.94E+03
98.36503558	5.84E+03
98.38962989	5.86E+03
98.41423035	5.87E+03
98.43883696	5.77E+03
98.46344972	5.58E+03
98.48806863	5.65E+03
98.5126937	5.86E+03
98.53732493	5.62E+03
98.56196232	5.29E+03
98.58660586	5.68E+03
98.61125557	6.23E+03
98.63591144	6.35E+03
98.66057348	6.38E+03
98.68524168	6.40E+03
98.70991605	6.15E+03
98.73459659	5.59E+03
98.7592833	5.46E+03
98.78397618	5.75E+03
98.80867524	5.86E+03
98.83338047	5.43E+03
98.85809188	4.45E+03
98.88280947	4.68E+03
98.90753323	5.85E+03
98.93226318	5.85E+03
98.95699932	5.21E+03
98.98174164	4.29E+03
99.00649014	3.55E+03
99.03124483	4.14E+03
99.05600571	4.96E+03
99.08077278	5.07E+03
99.10554605	5.64E+03
99.13032551	5.84E+03
99.15511116	5.72E+03
99.17990302	5.86E+03
99.20470107	6.29E+03
99.22950532	6.23E+03
99.25431577	5.45E+03
99.27913243	5.59E+03
99.30395529	6.44E+03
99.32878435	6.82E+03
99.35361963	6.88E+03
99.37846111	6.67E+03
99.40330881	6.00E+03
99.42816272	5.22E+03
99.45302284	4.85E+03
99.47788918	5.06E+03
99.50276174	5.76E+03
99.52764051	6.11E+03
99.55252551	5.94E+03
99.57741673	6.05E+03
99.60231417	6.26E+03
99.62721784	6.53E+03
99.65212773	6.59E+03
99.67704385	6.47E+03
99.7019662	6.09E+03
99.72689478	6.00E+03
99.7518296	6.36E+03
99.77677065	6.66E+03
99.80171794	6.49E+03
99.82667146	6.50E+03
99.85163122	6.68E+03
99.87659722	6.48E+03
99.90156947	6.49E+03
99.92654796	6.63E+03
99.9515327	6.52E+03
99.97652368	6.78E+03
100.0015209	6.90E+03
100.0265244	6.84E+03
100.0515341	6.81E+03
100.0765501	6.84E+03
100.1015724	6.99E+03
100.1266008	7.15E+03
100.1516356	7.20E+03
100.1766766	7.29E+03
100.2017239	7.24E+03
100.2267774	7.13E+03
100.2518372	7.19E+03
100.2769033	7.28E+03
100.3019756	7.32E+03
100.3270542	7.40E+03
100.3521391	7.52E+03
100.3772303	7.55E+03
100.4023277	7.52E+03
100.4274314	7.52E+03
100.4525413	7.39E+03
100.4776576	7.30E+03
100.5027801	7.36E+03
100.5279089	7.43E+03
100.553044	7.59E+03
100.5781854	7.64E+03
100.6033331	7.45E+03
100.628487	7.29E+03
100.6536473	7.22E+03
100.6788138	7.44E+03
100.7039866	7.60E+03
100.7291657	7.40E+03
100.7543512	7.34E+03
100.7795429	7.53E+03
100.8047409	7.65E+03
100.8299452	7.75E+03
100.8551558	7.78E+03
100.8803727	7.63E+03
100.9055959	7.45E+03
100.9308255	7.49E+03
100.9560613	7.73E+03
100.9813034	7.83E+03
101.0065519	7.62E+03
101.0318067	7.53E+03
101.0570677	7.95E+03
101.0823351	8.08E+03
101.1076089	8.01E+03
101.1328889	8.19E+03
101.1581753	8.15E+03
101.1834679	8.04E+03
101.2087669	7.91E+03
101.2340723	7.67E+03
101.2593839	7.78E+03
101.2847019	8.25E+03
101.3100262	8.37E+03
101.3353569	8.27E+03
101.3606939	8.21E+03
101.3860372	8.13E+03
101.4113868	8.17E+03
101.4367428	8.34E+03
101.4621052	8.51E+03
101.4874738	8.45E+03
101.5128488	8.17E+03
101.5382302	7.87E+03
101.5636179	8.18E+03
101.589012	8.68E+03
101.6144124	8.81E+03
101.6398191	8.83E+03
101.6652322	8.76E+03
101.6906517	8.68E+03
101.7160775	8.79E+03
101.7415097	8.90E+03
101.7669482	8.91E+03
101.7923931	8.80E+03
101.8178443	8.57E+03
101.843302	8.53E+03
101.8687659	8.56E+03
101.8942363	8.63E+03
101.919713	8.67E+03
101.9451961	8.57E+03
101.9706856	8.56E+03
101.9961814	8.58E+03
