#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-03T10:07:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d1c7e3023be0 
#INFO -out.max=unlimited 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/813/47/map_list
#-nav=cat:J/ApJ/813/47&tab:{J/ApJ/813/47/map_list}&key:source=J/ApJ/813/47/map_list&HTTPPRM:&&-ref=VIZ5d1c7e3023be0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Model&-out=Teff&-out=log(g)&-out=[Fe/H]&-out=C/O&-out=SpType&-out=pt&-ignore=pt=*&pt=pt&-out=ab&ab=ab&-out=sp&sp=sp&-out=Flags&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/ApJ/813/47/map_list
#-source=J/ApJ/813/47/map_list
#-out=Model
#-out=Teff
#-out=log(g)
#-out=[Fe/H]
#-out=C/O
#-out=SpType
#-out=pt
#-out=ab
#-out=sp
#-out=Flags
#
#
#RESOURCE=yCat_18130047
#Name: J/ApJ/813/47
#Title: Model atmospheres of irradiated exoplanets (Molliere+, 2015)
#Table J_ApJ_813_47_map_list:
#Name: J/ApJ/813/47/map_list
#Title: File for mapping the model number to the planetary log(g), [Fe/H], C/O, Teff and the host star spectral type and the model flags
#---Details of Columns:
#    Model            (A5)    [1/10640] Model ID [ucd=meta.id;stat.param;meta.modelled]
#    Teff (K)         (I4)    Effective temperature [ucd=phys.temperature.effective]
#    log(g) ([cm/s2]) (F4.1)  Gravitional acceleration [ucd=phys.gravity]
#    [Fe/H]           (F4.1)  Planetary metallicity [ucd=phys.abund.Z]
#    C/O              (F5.2)  Carbon-to-oxygen number ratio [ucd=phys.abund]
#    SpType           (A2)    Spectral type of host star [ucd=src.spType]
#    pt               (A2)    Display the Atmospheric structure file [ucd=meta.ref.url]
#    ab               (A2)    Display the Atmospheric abundances file [ucd=meta.ref.url]
#    sp               (A2)    Show the spectrum [ucd=meta.ref.url]
#    Flags            (a50)   Model flags (1) [ucd=meta.code.error]
#---- ---- ---- ---- ----- -- -- -- -- --------------------------------------------------
#           log(                                                                          
#           g) (            Sp                                                            
#      Teff [cm/ [F         Ty                                                            
#Model (K)  s2]) e/H] C/O   pe pt ab sp Flags                                             
#----- ---- ---- ---- ----- -- -- -- -- --------------------------------------------------
00001 1000  2.3 -0.5  0.35 F5 pt ab sp _neqc
00002 1000  2.3 -0.5  0.55 F5 pt ab sp _neqc
00003 1000  2.3 -0.5  0.71 F5 pt ab sp _neqc
00004 1000  2.3 -0.5  0.72 F5 pt ab sp _neqc
00005 1000  2.3 -0.5  0.73 F5 pt ab sp _neqc
00006 1000  2.3 -0.5  0.74 F5 pt ab sp _neqc
00007 1000  2.3 -0.5  0.75 F5 pt ab sp _neqc
00008 1000  2.3 -0.5  0.70 F5 pt ab sp _neqc
00009 1000  2.3 -0.5  0.85 F5 pt ab sp _neqc
00010 1000  2.3 -0.5  0.91 F5 pt ab sp _neqc
00011 1000  2.3 -0.5  0.92 F5 pt ab sp _neqc
00012 1000  2.3 -0.5  0.93 F5 pt ab sp _neqc
00013 1000  2.3 -0.5  0.94 F5 pt ab sp _neqc
00014 1000  2.3 -0.5  0.95 F5 pt ab sp _neqc
00015 1000  2.3 -0.5  0.90 F5 pt ab sp _neqc
00016 1000  2.3 -0.5  1.05 F5 pt ab sp _neqc
00017 1000  2.3 -0.5  1.00 F5 pt ab sp _neqc
00018 1000  2.3 -0.5  1.12 F5 pt ab sp _neqc
00019 1000  2.3 -0.5  1.40 F5 pt ab sp _neqc
00020 1000  2.3  0.0  0.35 F5 pt ab sp _neqc
00021 1000  2.3  0.0  0.55 F5 pt ab sp _neqc
00022 1000  2.3  0.0  0.71 F5 pt ab sp _neqc
00023 1000  2.3  0.0  0.72 F5 pt ab sp _neqc
00024 1000  2.3  0.0  0.73 F5 pt ab sp _neqc
00025 1000  2.3  0.0  0.74 F5 pt ab sp _neqc
00026 1000  2.3  0.0  0.75 F5 pt ab sp _neqc
00027 1000  2.3  0.0  0.70 F5 pt ab sp _neqc
00028 1000  2.3  0.0  0.85 F5 pt ab sp _neqc
00029 1000  2.3  0.0  0.91 F5 pt ab sp _neqc
00030 1000  2.3  0.0  0.92 F5 pt ab sp _neqc
00031 1000  2.3  0.0  0.93 F5 pt ab sp _neqc
00032 1000  2.3  0.0  0.94 F5 pt ab sp _neqc
00033 1000  2.3  0.0  0.95 F5 pt ab sp _neqc
00034 1000  2.3  0.0  0.90 F5 pt ab sp _neqc
00035 1000  2.3  0.0  1.05 F5 pt ab sp _neqc
00036 1000  2.3  0.0  1.00 F5 pt ab sp _neqc
00037 1000  2.3  0.0  1.12 F5 pt ab sp _neqc
00038 1000  2.3  0.0  1.40 F5 pt ab sp _neqc
00039 1000  2.3  0.5  0.35 F5 pt ab sp _neqc
00040 1000  2.3  0.5  0.55 F5 pt ab sp _neqc
00041 1000  2.3  0.5  0.71 F5 pt ab sp _neqc
00042 1000  2.3  0.5  0.72 F5 pt ab sp _neqc
00043 1000  2.3  0.5  0.73 F5 pt ab sp _neqc
00044 1000  2.3  0.5  0.74 F5 pt ab sp _neqc
00045 1000  2.3  0.5  0.75 F5 pt ab sp _neqc
00046 1000  2.3  0.5  0.70 F5 pt ab sp _neqc
00047 1000  2.3  0.5  0.85 F5 pt ab sp _neqc
00048 1000  2.3  0.5  0.91 F5 pt ab sp _neqc
00049 1000  2.3  0.5  0.92 F5 pt ab sp _neqc
00050 1000  2.3  0.5  0.93 F5 pt ab sp _neqc
00051 1000  2.3  0.5  0.94 F5 pt ab sp _neqc
00052 1000  2.3  0.5  0.95 F5 pt ab sp _neqc
00053 1000  2.3  0.5  0.90 F5 pt ab sp _neqc
00054 1000  2.3  0.5  1.05 F5 pt ab sp _neqc
00055 1000  2.3  0.5  1.00 F5 pt ab sp _neqc
00056 1000  2.3  0.5  1.12 F5 pt ab sp _neqc
00057 1000  2.3  0.5  1.40 F5 pt ab sp _neqc
00058 1000  2.3  1.0  0.35 F5 pt ab sp _neqc
00059 1000  2.3  1.0  0.55 F5 pt ab sp _neqc
00060 1000  2.3  1.0  0.71 F5 pt ab sp _neqc
00061 1000  2.3  1.0  0.72 F5 pt ab sp _neqc
00062 1000  2.3  1.0  0.73 F5 pt ab sp _neqc
00063 1000  2.3  1.0  0.74 F5 pt ab sp _neqc
00064 1000  2.3  1.0  0.75 F5 pt ab sp _neqc
00065 1000  2.3  1.0  0.70 F5 pt ab sp _neqc
