#PLNTNAME	JST	JST_ERR	HST	HST_ERR	KST	KST_ERR	3.6ST	3.6ST_ERR	4.5ST	4.5ST_ERR	5.8ST	5.8ST_ERR	8.0ST	8.0ST_ERR	DIST	DIST_ERR	J	J_ERR	H	H_ERR	K	K_ERR	3.6	3.6_ERR	4.5	4.5_ERR	5.8	5.8_ERR	8	8.0_ERR	RAD	RAD_ERR	APP_MAG_STAR_W	APP_MAG_STAR_W_ERR	FLUX_RATIO_W	FLUX_RATIO_W_ERR	APP_MAG_STAR_NB1	APP_MAG_STAR_NB1_ERR	FLUX_RATIO_NB1	FLUX_RATIO_NB1_ERR	APP_MAG_STAR_NB2	APP_MAG_STAR_NB2_ERR	FLUX_RATIO_NB2	FLUX_RATIO_NB2_ERR	APP_MAG_STAR_Z	APP_MAG_STAR_Z_ERR	FLUX_RATIO_Z	FLUX_RATIO_Z_ERR	H20	NA	K	ALO	H	C	O	CA	SC	MG	SI	VO	TIO	HCN	CO
COROT-1	12.462	0.029	12.218	0.026	12.149	0.027	12.12	0.12	12.114	0.095	999.9	-99.9	999.9	-99.9	787.9086512	24.17821075	-999	-999	0.145	0.049	0.336	0.042	0.415	0.042	0.482	0.042	-999	-999	-999	-999	1.49	0.08	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
COROT-2	10.783	0.028	10.438	0.037	10.31	0.031	10.297	0.071	10.309	0.078	999.9	-99.9	10.627	0.072	213.2830025	2.485284376	-999	-999	-999	-999	0.16	0.09	0.355	0.02	0.5	0.02	-999	-999	0.51	0.059	1.465	0.029	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GJ-3470	-9999	-9999	-9999	-9999	-9999	-9999	7.807	0.027	7.783	0.02	-9999	-9999	-9999	-9999	29.42135744	0.050802546	-999	-999	-999	-999	-999	-999	0.0115	0.0027	-999	-999	-999	-999	-999	-999	0.374	0.053	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GJ-436	6.9	0.024	6.319	0.023	6.073	0.016	5.889	0.031	5.836	0.023	6.277	0.062	6.265	0.023	9.753211522	0.008977701	-999	-999	-999	-999	-999	-999	0.041	0.003	-999	-999	0.033	0.014	0.054	0.008	0.38	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-1	9.156	0.026	8.923	0.03	8.858	0.018	8.875	0.064	8.853	0.065	9.278	0.069	9.308	0.072	158.9792775	0.977037017	-999	-999	-999	-999	0.109	0.025	0.08	0.008	0.135	0.022	0.203	0.031	0.238	0.04	1.319	0.019	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-13	-9999	-9999	-9999	-9999	-9999	-9999	8.946	0.024	8.998	0.022	-9999	-9999	-9999	-9999	246.8104363	2.227364722	-999	-999	-999	-999	-999	-999	0.0801	0.0081	0.19	0.0124	-999	-999	-999	-999	1.28	0.079	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-18	-9999	-9999	-9999	-9999	-9999	-9999	10.195	0.023	10.253	0.019	999.9	-99.9	999.9	-99.9	161.4001236	0.609392889	-999	-999	-999	-999	-999	-999	0.0437	0.0146	0.0326	0.0147	-999	-999	-999	-999	0.947	0.044	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-19	-9999	-9999	-9999	-9999	-9999	-9999	10.495	0.022	10.557	0.02	999.9	-99.9	999.9	-99.9	202.0780274	1.471441346	-999	-999	-999	-999	-999	-999	0.062	0.014	0.062	0.016	-999	-999	-999	-999	1.132	0.072	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-2	7.796	0.027	7.652	0.038	7.603	0.02	7.544	0.063	7.603	0.043	8.075	0.063	8.054	0.062	127.7736357	0.425208968	-999	-999	-999	-999	-999	-999	0.0996	0.0072	0.1031	0.0061	0.071	0.029	0.1392	0.0095	0.951	0.053	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HAT-P-20	9.276	0.022	8.743	0.021	8.601	0.019	8.55	0.027	8.635	0.023	999.9	-99.9	999.9	-99.9	71.03740777	0.199390174	-999	-999	-999	-999	-999	-999	0.0615	0.0082	0.1096	0.0077	-999	-999	-999	-999	0.867	0.033	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
